"","totalNflow","totalCflow","TT","CThroughflow","date"
"59",3887255.69976865,13663896.6169252,2607894.59715442,7161009.40437643,2031-05-01
"60",17800.2909697989,990985.196122472,8749.2386136702,37822.0027992007,2021-06-01
"61",382877.780565224,3475071.19829012,250907.517197547,721412.170900884,2022-06-01
"62",760448.304679508,5282707.61739166,498004.043623608,1385214.74824044,2023-06-01
"63",1135449.30759023,6704699.66828492,745865.745152323,2072486.68147298,2024-06-01
"64",1515944.71751806,8036202.30496387,1000304.87094485,2850253.86065063,2025-06-01
"65",1905554.3535152,8999864.34516536,1259556.00352834,3541948.02636179,2026-06-01
"66",2293326.31648644,9966746.4771653,1520271.61080652,4249503.69603475,2027-06-01
"67",2686318.51932694,11005719.5628987,1787146.02796806,5032507.21445262,2028-06-01
"68",3088240.84900942,11790258.9065956,2058730.15644748,5726529.4725473,2029-06-01
"69",3488027.14962014,12611172.5726318,2331470.39892893,6429331.43342629,2030-06-01
"70",3892194.59601163,13500932.0057819,2609518.95808996,7188731.62433911,2031-06-01
"71",193795.382850806,1136782.55746494,87348.3356804628,44359.3783786839,2021-07-01
"72",566464.883711664,3633729.45737358,329751.402862194,741592.825578924,2022-07-01
"73",940783.270782318,5423830.42190235,576861.152013138,1408024.01879563,2023-07-01
"74",1314753.47144479,6825207.25422789,824724.34506155,2097349.89080761,2024-07-01
"75",1699535.88737151,8142653.19263581,1079171.75834017,2876592.99779798,2025-07-01
"76",2085912.1233093,9097933.80554358,1338426.23527911,3568515.41679822,2026-07-01
"77",2472698.88127535,10058897.0227286,1599140.10653749,4275992.25346831,2027-07-01
"78",2869820.72401682,11094028.2523324,1866011.76267775,5058925.63590857,2028-07-01
"79",3268587.92625594,11875605.6810435,2137601.38108874,5753228.45897281,2029-07-01
"80",3667431.73949169,12694554.7910734,2410341.85561961,6456055.86369058,2030-07-01
"81",4075807.84599051,13583277.5989136,2688389.92509529,7215456.89913968,2031-07-01
