current_date.year,current_date.month,cycle,machine_time,runTime,meanHomefieldsSOCS,meanBushfieldsSOCS,meanRangelandSOCS,totalNFlows,totalCFlows,TT,CThroughflow
2025,1,73058,1688462281878.0,0.0,402.85294469067634,404.3798665801806,521.6590719383101,36427167.18829515,255710929.31804913,25295407.5127242,51473786.18848404
2025,2,74546,1688462287525.0,0.0,390.89004356013146,392.36945121563787,506.16557510161545,37993941.819916494,265936585.09964082,26413439.57977787,54018018.62769787
2025,3,75890,1688462293482.0,0.0,379.2821188945824,380.7157548369028,491.1322726338366,39563471.345315725,276208571.1703727,27533165.489315543,56577069.89197618
2025,4,77378,1688462300847.0,0.0,368.018886058759,369.4082087304324,476.54541898290313,41136030.34411562,286526453.2738928,28654746.150721382,59151385.00751107
2025,5,78818,1688462308774.0,0.0,357.49918557801533,358.4364905290616,462.3918545133477,42726815.72711831,296901958.7297727,29789981.51332466,61748907.50957731
2025,6,80306,1688462314906.0,0.0,346.97159848021107,347.7906508346691,448.6586602915735,44322164.74862626,307322508.68587184,30928288.463154912,64361862.81622292
2025,7,81746,1688462321950.0,0.0,336.72095223597523,337.947143725104,441.10055579176907,46101575.244156085,317841459.83968663,32147435.755573917,66989728.370805174
2025,8,83234,1688462324550.0,0.0,326.72444670537374,327.95300566939216,428.51065353661215,47927755.81695382,328603976.6112086,33413337.576401383,69622785.96090624
2025,9,84722,1688462327091.0,0.0,317.0204394615516,318.21288181771075,415.78755028715324,49800641.745828204,339604787.982306,34725929.24933997,72258311.70237061
2025,10,86162,1688462329313.0,0.0,307.6046156734861,308.76164860236395,403.43827711161805,51720141.707708985,350841408.4972474,36085119.980104476,74894593.50039878
2025,11,87650,1688462331780.0,0.0,298.4684509856426,299.5911189492284,391.4557571059705,53709905.389552675,362816680.0641448,37513500.556561895,78025348.74768443
2025,12,89090,1688462334033.0,0.0,289.60465324602325,290.69296312589427,379.82912966626867,55702572.164988555,374823282.1068847,38943532.60206859,81163431.66210777
2026,1,90578,1688462339030.0,0.0,281.0056853780299,282.0591202635558,368.5480272551876,57698361.24079835,386871210.9276531,40375485.88162962,84319222.50725856
2026,2,92066,1688462344087.0,0.0,272.6620925852196,273.6817245940288,357.6021072962098,59697397.26750602,398961966.56283665,41809347.791096784,87492634.00179683
2026,3,93410,1688462349068.0,0.0,264.5659354374334,265.5531489061288,346.98130903774575,61699095.08363799,411091008.7881706,43244916.875187635,90681535.93744053
2026,4,94898,1688462355115.0,0.0,256.71025116284375,257.6660226441948,336.67608917991123,63703732.08401699,423260140.1137999,44682368.25681055,93887659.1881653
2026,5,96338,1688462360745.0,0.0,249.49462866928727,250.01314262465124,326.67688671556454,65726540.769898094,435480347.4998247,46133454.73533648,97118304.03629999
2026,6,97826,1688462366792.0,0.0,242.1789899264897,242.5875607232259,316.97468085470166,67754015.87596273,447739430.9046598,47587674.64669669,100365738.06938463
2026,7,99266,1688462373950.0,0.0,235.04172785441398,235.79597370874174,312.9294174948393,69962099.20678371,460085828.93053156,49122737.83808553,103628771.79850118
2026,8,100754,1688462376875.0,0.0,228.06524973814197,228.829385277888,304.11102957378256,72219678.55567048,472605975.9309738,50707281.49549396,106897220.3623244
2026,9,102242,1688462380142.0,0.0,221.29151972561144,222.03342129209588,295.0824484639053,74526798.37221701,485299683.8895031,52341350.03663818,110173006.37446119
2026,10,103682,1688462383137.0,0.0,214.71894058600012,215.43890339419426,286.3182384348452,76883315.92613028,498162496.91238046,54024801.29567379,113452259.90402003
2026,11,105170,1688462386122.0,0.0,208.34157333395783,209.04017679854363,277.8143008856266,79305264.90833384,511525660.86135036,55772610.0986491,117056916.72258452
2026,12,106610,1688462391644.0,0.0,202.15485935899926,202.8314805060061,269.56415205777677,81730012.18576473,524923443.314735,57522096.62625807,120674148.42967261
2027,1,108098,1688462397903.0,0.0,196.1526780970931,196.80721463540903,261.55852345279135,84157664.7340108,538356317.1365004,59273413.066840015,124307204.63416548
2027,2,109586,1688462404027.0,0.0,190.32853737162768,190.961887925218,253.79060066321526,86588429.93045612,551824298.2334335,61026520.525354944,127954548.95532504
2027,3,110930,1688462411166.0,0.0,184.67708751790462,185.29016560899055,246.25327920394895,89021890.58383249,565322281.0887864,62781227.26461845,131613863.7994332
2027,4,112418,1688462417283.0,0.0,179.19346153346814,179.78690060690752,238.93995424129977,91458314.76719086,578851120.127605,64537683.92460056,135285730.3894737
2027,5,113858,1688462423283.0,0.0,174.2831202501832,174.44708345430402,231.8434996847691,93912866.18819645,592419943.4716549,66307682.84105487,138976932.39203706
2027,6,115346,1688462429566.0,0.0,169.19809515597623,169.26586394801137,224.95774612803635,96371879.06681575,606014582.6368566,68080642.4030058,142678013.98796847
2027,7,116786,1688462436864.0,0.0,164.22694550095815,164.895200129941,221.05639471559573,99010614.17406763,619681110.725138,69934300.32109955,146387440.06163535
2027,8,118274,1688462439404.0,0.0,159.35362980269778,160.05598539457355,214.7372233696011,101702241.36728358,633604770.0411652,71840834.78044818,150101903.34608778
2027,9,119762,1688462441867.0,0.0,154.6207027544086,155.3026834760639,208.36128454772847,104446693.77056837,647780839.9857333,73800178.95098601,153818594.2212696
2027,10,121202,1688462444014.0,0.0,150.02831354278365,150.69004617472504,202.1727618069719,107243886.96948299,662207471.695918,75812248.94205368,157536036.05645144
2027,11,122690,1688462446493.0,0.0,145.57232260449652,146.21440117489425,196.1680287347159,110119354.85043575,677437578.6258117,77901519.74088949,161797658.66567975
2027,12,124130,1688462448764.0,0.0,141.24947239766658,141.87168724609157,190.3416421142754,112997689.15198295,692686238.8008373,79992409.42091809,166065224.42147368
